Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"12 M‰r 2017 09:00","Kreisklasse A",1,4,"SC FK Babenhausen 02"," : ","SC Goddelau 01"
"17 Sep 2017 09:00","Kreisklasse A",1,1,"SC Ladja Roﬂdorf 02"," : ","SC FK Babenhausen 02"
"05 Nov 2017 09:00","Kreisklasse A",1,2,"SC FK Babenhausen 02"," : ","SC Groﬂ-Zimmern 02"
"19 Nov 2017 09:00","Kreisklasse A",1,3,"SC SM Weiterstadt 02"," : ","SC FK Babenhausen 02"
"14 Jan 2018 09:00","Kreisklasse A",1,5,"SK 1924 Pfungstadt 01"," : ","SC FK Babenhausen 02"
"28 Jan 2018 09:00","Kreisklasse A",1,6,"SV Schachforum Da 05"," : ","SC FK Babenhausen 02"
"18 Feb 2018 09:00","Kreisklasse A",1,7,"SC FK Babenhausen 02"," : ","SG W Schaafheim 01"
"11 M‰r 2018 09:00","Kreisklasse A",1,8,"Schachforum Da 04"," : ","SC FK Babenhausen 02"
"22 Apr 2018 09:00","Kreisklasse A",1,9,"SC FK Babenhausen 02"," : ","SAbt Tec Darmstadt 02"
