Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"05 Dez 2021 09:00","Kreisklasse B",1,1,"SK 1980 Gernsheim 5"," : ","SC FK Babenhausen 1994 3"
"09 Jan 2022 09:00","Kreisklasse B",1,2,spielfrei," : ","SK 1980 Gernsheim 5"
"10 Jan 2022","4er Pokal",1,1,"SC Babenhausen 1"," : ","Gernsheim 3"
"10 Jan 2022","4er Pokal",1,1,"Gernsheim 2"," : ","Gernsheim 1"
"23 Jan 2022 09:00","Kreisklasse B",1,3,"SK 1980 Gernsheim 5"," : ","SC Groß-Umstadt 2"
"13 Feb 2022 09:00","Kreisklasse B",1,4,"SK 1980 Gernsheim 5"," : ","SC Ladja Roßdorf 2"
"27 Feb 2022 09:00","Kreisklasse B",1,5,"SV Griesheim 1976 3"," : ","SK 1980 Gernsheim 5"
"13 Mär 2022 09:00","Kreisklasse B",1,6,"SK 1980 Gernsheim 5"," : ","SG Wartturm Schaafheim 2"
"08 Mai 2022 09:00","Kreisklasse B",1,7,"Schachforum Darmstadt 1994 5"," : ","SK 1980 Gernsheim 5"
