Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"23 Sep 2018 09:00","Kreisklasse A",1,1,"SC Groß-Zimmern 02"," : ","Schachforum Darmstadt 1994 05"
"04 Nov 2018 09:00","Kreisklasse A",1,2,"SC Schachmatt Weiterstadt 02"," : ","Schachforum Darmstadt 1994 05"
"09 Dez 2018 09:00","Kreisklasse A",1,3,"Schachforum Darmstadt 1994 05"," : ","SG Wartturm Schaafheim 01"
"03 Feb 2019 09:00","Kreisklasse A",1,4,"SC Münster 01"," : ","Schachforum Darmstadt 1994 05"
"17 Feb 2019 09:00","Kreisklasse A",1,5,"Schachforum Darmstadt 1994 05"," : ","SC Ladja Roßdorf 02"
"10 Mär 2019 09:00","Kreisklasse A",1,6,"SAbt Tec Darmstadt 02"," : ","Schachforum Darmstadt 1994 05"
"07 Apr 2019 09:00","Kreisklasse A",1,7,"Schachforum Darmstadt 1994 05"," : ","SC FK Babenhausen 1994 02"
