Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"18 Sep 2016 09:00","Kreisklasse C",1,1,"SC Groß-Umstadt 02"," : ","SC Schachforum Da 06"
"09 Okt 2016 09:00","Kreisklasse C",1,2,"Reinheim/Gr.-Bieberau 02"," : ","SC Schachforum Da 06"
"06 Nov 2016 09:00","Kreisklasse C",1,3,"SC Schachforum Da 06"," : ","SC Turm Breuberg 04"
"11 Dez 2016 09:00","Kreisklasse C",1,4,"SC Ober-Ramstadt 02"," : ","SC Schachforum Da 06"
"15 Jan 2017 09:00","Kreisklasse C",1,5,"SC Schachforum Da 06"," : ","SG W Schaafheim 02"
"05 Feb 2017 09:00","Kreisklasse C",1,6,"SC SM Weiterstadt 02"," : ","SC Schachforum Da 06"
"05 Mär 2017 09:00","Kreisklasse C",1,7,"SC Schachforum Da 06"," : ","SC Münster 02"
