Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"12 Apr 2022 09:00","Kreisklasse B",1,4,"SG Wartturm Schaafheim  02"," : ","SK 1980 Gernsheim  05"
"07 Jun 2022 09:00","Kreisklasse B",1,9,"SG Wartturm Schaafheim  02"," : ","SC Groß-Umstadt  02"
"26 Sep 2022 09:00",Bezirksklasse,1,1,"SC Springer Bad König  01"," : ","SG Wartturm Schaafheim  01"
"26 Sep 2022 09:00","Kreisklasse B",1,1,"SC FK Babenhausen 1994  03"," : ","SG Wartturm Schaafheim  02"
"09 Okt 2022 09:00",Bezirksklasse,1,2,"SG Wartturm Schaafheim  01"," : ","SC FK Babenhausen 1994  02"
"09 Okt 2022 09:00","Kreisklasse B",1,2,"SG Wartturm Schaafheim  02"," : ","SC ""Turm"" Breuberg  03"
"06 Nov 2022 09:00",Bezirksklasse,1,3,"Schachforum Darmstadt 1994"," : ","SG Wartturm Schaafheim  01"
"06 Nov 2022 09:00","Kreisklasse B",1,3,"SC Springer Bad König  02"," : ","SG Wartturm Schaafheim  02"
"04 Dez 2022 09:00",Bezirksklasse,1,4,"SAbt TEC Darmstadt  01"," : ","SG Wartturm Schaafheim  01"
"15 Jan 2023 09:00","Kreisklasse B",1,5,"SC Ladja Roßdorf  02"," : ","SG Wartturm Schaafheim  02"
"29 Jan 2023 09:00",Bezirksklasse,1,5,"SG Wartturm Schaafheim  01"," : ","SK Langen  03"
"29 Jan 2023 09:00","Kreisklasse B",1,6,"SG Wartturm Schaafheim  02"," : ","SV Griesheim 1976  02"
"12 Feb 2023 09:00",Bezirksklasse,1,6,"SC Schachmatt Weiterstadt  01"," : ","SG Wartturm Schaafheim  01"
"12 Feb 2023 09:00","Kreisklasse B",1,7,"Schachforum Darmstadt 1994  04"," : ","SG Wartturm Schaafheim  02"
"19 Mär 2023 09:00",Bezirksklasse,1,7,"SG Wartturm Schaafheim  01"," : ","SC Ober-Ramstadt  01"
"19 Mär 2023 09:00","Kreisklasse B",1,8,spielfrei," : ","SG Wartturm Schaafheim  02"
