Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"12 Mär 2017 09:00","Kreisklasse A",1,4,"SV Schachforum Da 05"," : ","SK 1924 Pfungstadt 01"
"12 Mär 2017 09:00","Kreisklasse A",1,4,"Schachforum Da 04"," : ","SC Groß-Zimmern 02"
"17 Sep 2017 09:00","Kreisklasse A",1,1,"Schachforum Da 04"," : ","SV Schachforum Da 05"
"17 Sep 2017 09:00","Kreisklasse B",1,1,"Rödermark/Eppertshs 03"," : ","SV Schachforum Da 06"
"05 Nov 2017 09:00","Kreisklasse A",1,2,"SV Schachforum Da 05"," : ","SC Goddelau 01"
"05 Nov 2017 09:00","Kreisklasse A",1,2,"Schachforum Da 04"," : ","SAbt Tec Darmstadt 02"
"05 Nov 2017 09:00","Kreisklasse B",1,2,"SV Schachforum Da 06"," : ","SK Langen 04"
"19 Nov 2017 09:00","Kreisklasse A",1,3,"SAbt Tec Darmstadt 02"," : ","SV Schachforum Da 05"
"19 Nov 2017 09:00","Kreisklasse A",1,3,"SC Ladja Roßdorf 02"," : ","Schachforum Da 04"
"19 Nov 2017 09:00","Kreisklasse B",1,3,"Reinheim/Gr.-Bieberau 02"," : ","SV Schachforum Da 06"
"03 Dez 2017 09:00","Kreisklasse B",1,4,"SV Schachforum Da 06"," : ","SC Turm Breuberg 03"
"14 Jan 2018 09:00","Kreisklasse A",1,5,"SC Ladja Roßdorf 02"," : ","SV Schachforum Da 05"
"14 Jan 2018 09:00","Kreisklasse A",1,5,"SC SM Weiterstadt 02"," : ","Schachforum Da 04"
"14 Jan 2018 09:00","Kreisklasse B",1,5,"SC Springer Bad König 02"," : ","SV Schachforum Da 06"
"28 Jan 2018 09:00","Kreisklasse A",1,6,"SV Schachforum Da 05"," : ","SC FK Babenhausen 02"
"28 Jan 2018 09:00","Kreisklasse A",1,6,"Schachforum Da 04"," : ","SC Goddelau 01"
"28 Jan 2018 09:00","Kreisklasse B",1,6,"SG W Schaafheim 02"," : ","SV Schachforum Da 06"
"18 Feb 2018 09:00","Kreisklasse A",1,7,"SC Groß-Zimmern 02"," : ","SV Schachforum Da 05"
"18 Feb 2018 09:00","Kreisklasse A",1,7,"SK 1924 Pfungstadt 01"," : ","Schachforum Da 04"
"18 Feb 2018 09:00","Kreisklasse B",1,7,"SV Schachforum Da 06"," : ","SK 1990 Gernsheim 05"
"11 Mär 2018 09:00","Kreisklasse A",1,8,"SV Schachforum Da 05"," : ","SG W Schaafheim 01"
"11 Mär 2018 09:00","Kreisklasse A",1,8,"Schachforum Da 04"," : ","SC FK Babenhausen 02"
"22 Apr 2018 09:00","Kreisklasse A",1,9,"SC SM Weiterstadt 02"," : ","SV Schachforum Da 05"
"22 Apr 2018 09:00","Kreisklasse A",1,9,"SG W Schaafheim 01"," : ","Schachforum Da 04"
