Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"12 Apr 2022 09:00","Kreisklasse B",1,4,"Schachforum Darmstadt 1994  04"," : ","SC Ladja Roßdorf  02"
"07 Jun 2022 09:00","Kreisklasse B",1,9,"Schachforum Darmstadt 1994  04"," : ","SC FK Babenhausen 1994  03"
"26 Sep 2022 09:00",Bezirksklasse,1,1,"SC FK Babenhausen 1994  02"," : ","Schachforum Darmstadt 1994"
"26 Sep 2022 09:00","Kreisklasse B",1,1,"SC ""Turm"" Breuberg  03"," : ","Schachforum Darmstadt 1994  04"
"09 Okt 2022 09:00",Bezirksklasse,1,2,"SAbt TEC Darmstadt  01"," : ","Schachforum Darmstadt 1994"
"09 Okt 2022 09:00","Kreisklasse B",1,2,"Schachforum Darmstadt 1994  04"," : ","SC Springer Bad König  02"
"06 Nov 2022 09:00",Bezirksklasse,1,3,"Schachforum Darmstadt 1994"," : ","SG Wartturm Schaafheim  01"
"06 Nov 2022 09:00","Kreisklasse B",1,3,"SK 1980 Gernsheim  05"," : ","Schachforum Darmstadt 1994  04"
"04 Dez 2022 09:00",Bezirksklasse,1,4,"SK Langen  03"," : ","Schachforum Darmstadt 1994"
"15 Jan 2023 09:00","Kreisklasse B",1,5,"SV Griesheim 1976  02"," : ","Schachforum Darmstadt 1994  04"
"29 Jan 2023 09:00",Bezirksklasse,1,5,"Schachforum Darmstadt 1994"," : ","SC Schachmatt Weiterstadt  01"
"29 Jan 2023 09:00","Kreisklasse B",1,6,spielfrei," : ","Schachforum Darmstadt 1994  04"
"12 Feb 2023 09:00",Bezirksklasse,1,6,"SC Ober-Ramstadt  01"," : ","Schachforum Darmstadt 1994"
"12 Feb 2023 09:00","Kreisklasse B",1,7,"Schachforum Darmstadt 1994  04"," : ","SG Wartturm Schaafheim  02"
"19 Mär 2023 09:00",Bezirksklasse,1,7,"Schachforum Darmstadt 1994"," : ","SC Springer Bad König  01"
"19 Mär 2023 09:00","Kreisklasse B",1,8,"SC Groß-Umstadt  02"," : ","Schachforum Darmstadt 1994  04"
