Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"23 Sep 2018 09:00","Kreisklasse A",1,1,"SC Ladja Roﬂdorf 02"," : ","SC Schachmatt Weiterstadt 02"
"04 Nov 2018 09:00","Kreisklasse A",1,2,"SC Ladja Roﬂdorf 02"," : ","SAbt Tec Darmstadt 02"
"09 Dez 2018 09:00","Kreisklasse A",1,3,"SC FK Babenhausen 1994 02"," : ","SC Ladja Roﬂdorf 02"
"03 Feb 2019 09:00","Kreisklasse A",1,4,"SC Ladja Roﬂdorf 02"," : ","SC Groﬂ-Zimmern 02"
"17 Feb 2019 09:00","Kreisklasse A",1,5,"Schachforum Darmstadt 1994 05"," : ","SC Ladja Roﬂdorf 02"
"10 M‰r 2019 09:00","Kreisklasse A",1,6,"SC Ladja Roﬂdorf 02"," : ","SG Wartturm Schaafheim 01"
"07 Apr 2019 09:00","Kreisklasse A",1,7,"SC M¸nster 01"," : ","SC Ladja Roﬂdorf 02"
