Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"05 Dez 2021 09:00",Bezirksklasse,1,1,"SG Wartturm Schaafheim 1"," : ","SC Münster 1"
"05 Dez 2021 09:00","Kreisklasse B",1,1,"SV Griesheim 1976 3"," : ","SG Wartturm Schaafheim 2"
"09 Jan 2022 09:00",Bezirksklasse,1,2,"SAbt TEC Darmstadt 1"," : ","SG Wartturm Schaafheim 1"
"09 Jan 2022 09:00","Kreisklasse B",1,2,"SC Groß-Umstadt 2"," : ","SG Wartturm Schaafheim 2"
"10 Jan 2022","4er Pokal",1,1,"Schachforum DA 1"," : ","Schaafheim 1"
"23 Jan 2022 09:00",Bezirksklasse,1,3,"SG Wartturm Schaafheim 1"," : ","SC Schachmatt Weiterstadt 1"
"23 Jan 2022 09:00","Kreisklasse B",1,3,"SG Wartturm Schaafheim 2"," : ","Schachforum Darmstadt 1994 5"
"13 Feb 2022 09:00",Bezirksklasse,1,4,"SC FK Babenhausen 1994 2"," : ","SG Wartturm Schaafheim 1"
"13 Feb 2022 09:00","Kreisklasse B",1,4,"SC FK Babenhausen 1994 3"," : ","SG Wartturm Schaafheim 2"
"27 Feb 2022 09:00",Bezirksklasse,1,5,"SG Wartturm Schaafheim 1"," : ","SK Langen 2"
"27 Feb 2022 09:00","Kreisklasse B",1,5,"SG Wartturm Schaafheim 2"," : ",spielfrei
"13 Mär 2022 09:00",Bezirksklasse,1,6,"Schachforum Darmstadt 1994 3"," : ","SG Wartturm Schaafheim 1"
"13 Mär 2022 09:00","Kreisklasse B",1,6,"SK 1980 Gernsheim 5"," : ","SG Wartturm Schaafheim 2"
"08 Mai 2022 09:00",Bezirksklasse,1,7,"SG Wartturm Schaafheim 1"," : ","SSG Rödermark/Eppertshausen 2"
"08 Mai 2022 09:00","Kreisklasse B",1,7,"SG Wartturm Schaafheim 2"," : ","SC Ladja Roßdorf 2"
"22 Mai 2022 10:00",Bezirksklasse,1,8,"SC Springer Bad König 1"," : ","SG Wartturm Schaafheim 1"
"12 Jun 2022 09:00",Bezirksklasse,1,9,"SG Wartturm Schaafheim 1"," : ",spielfrei
