Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"12 M‰r 2017 09:00","Kreisklasse A",1,4,"SC FK Babenhausen 02"," : ","SC Goddelau 01"
"17 Sep 2017 09:00","Kreisklasse A",1,1,"SC SM Weiterstadt 02"," : ","SC Goddelau 01"
"05 Nov 2017 09:00","Kreisklasse A",1,2,"SV Schachforum Da 05"," : ","SC Goddelau 01"
"19 Nov 2017 09:00","Kreisklasse A",1,3,"SC Goddelau 01"," : ","SK 1924 Pfungstadt 01"
"14 Jan 2018 09:00","Kreisklasse A",1,5,"SC Goddelau 01"," : ","SG W Schaafheim 01"
"28 Jan 2018 09:00","Kreisklasse A",1,6,"Schachforum Da 04"," : ","SC Goddelau 01"
"18 Feb 2018 09:00","Kreisklasse A",1,7,"SC Goddelau 01"," : ","SAbt Tec Darmstadt 02"
"11 M‰r 2018 09:00","Kreisklasse A",1,8,"SC Ladja Roﬂdorf 02"," : ","SC Goddelau 01"
"22 Apr 2018 09:00","Kreisklasse A",1,9,"SC Goddelau 01"," : ","SC Groﬂ-Zimmern 02"
