Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"22 Sep 2019 09:00",Bezirksklasse,1,1,"SC Ober-Ramstadt I"," : ","SK 1980 Gernsheim IV"
"22 Sep 2019 09:00","Kreisklasse B",1,1,"SK 1980 Gernsheim V"," : ","SG Wartturm Schaafheim II"
"27 Okt 2019 09:00",Bezirksklasse,1,2,spielfrei," : ","SK 1980 Gernsheim IV"
"27 Okt 2019 09:00","Kreisklasse B",1,2,"SC Schachmatt Weiterstadt III"," : ","SK 1980 Gernsheim V"
"10 Nov 2019 09:00",Bezirksklasse,1,3,"SK 1980 Gernsheim IV"," : ","Schachforum Darmstadt 1994 II"
"10 Nov 2019 09:00","Kreisklasse B",1,3,"SK 1980 Gernsheim V"," : ","SK Langen IV"
"01 Dez 2019 09:00",Bezirksklasse,1,4,"SK Langen III"," : ","SK 1980 Gernsheim IV"
"01 Dez 2019 09:00","Kreisklasse B",1,4,"SC ""Turm"" Breuberg II"," : ","SK 1980 Gernsheim V"
"26 Jan 2020 09:00",Bezirksklasse,1,5,"SK 1980 Gernsheim IV"," : ","SG Wartturm Schaafheim I"
"26 Jan 2020 09:00","Kreisklasse B",1,5,"SK 1980 Gernsheim V"," : ","Schachforum Darmstadt 1994 V"
"16 Feb 2020 09:00",Bezirksklasse,1,6,"SK Eberstadt 1924 I"," : ","SK 1980 Gernsheim IV"
"16 Feb 2020 09:00","Kreisklasse B",1,6,"SC Springer Bad König II"," : ","SK 1980 Gernsheim V"
"08 Mär 2020 09:00",Bezirksklasse,1,7,"SK 1980 Gernsheim IV"," : ","SC Schachmatt Weiterstadt I"
"08 Mär 2020 09:00","Kreisklasse B",1,7,"SK 1980 Gernsheim V"," : ",spielfrei
"17 Mai 2020 09:00",Bezirksklasse,1,8,"SC FK Babenhausen 1994 II"," : ","SK 1980 Gernsheim IV"
"17 Mai 2020 09:00",Bezirksklasse,1,9,"SK 1980 Gernsheim IV"," : ","Schachforum Darmstadt 1994 III"
"17 Mai 2020 09:00","Kreisklasse B",1,8,"SK 1980 Gernsheim V"," : ","SC Reinheim - Groß-Bieberau II"
"17 Mai 2020 09:00","Kreisklasse B",1,9,"SC Groß-Zimmern II"," : ","SK 1980 Gernsheim V"
