Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"22 Sep 2019 09:00",Bezirksklasse,1,1,"Schachforum Darmstadt 1994 III"," : ","Schachforum Darmstadt 1994 II"
"22 Sep 2019 09:00","Kreisklasse B",1,1,"Schachforum Darmstadt 1994 V"," : ","SK Langen IV"
"27 Okt 2019 09:00",Bezirksklasse,1,2,"Schachforum Darmstadt 1994 II"," : ","SC Ober-Ramstadt I"
"27 Okt 2019 09:00",Bezirksklasse,1,2,"SK Langen III"," : ","Schachforum Darmstadt 1994 III"
"27 Okt 2019 09:00","Kreisklasse B",1,2,"SC ""Turm"" Breuberg II"," : ","Schachforum Darmstadt 1994 V"
"10 Nov 2019 09:00",Bezirksklasse,1,3,"Schachforum Darmstadt 1994 III"," : ","SG Wartturm Schaafheim I"
"10 Nov 2019 09:00",Bezirksklasse,1,3,"SK 1980 Gernsheim IV"," : ","Schachforum Darmstadt 1994 II"
"10 Nov 2019 09:00","Kreisklasse B",1,3,"Schachforum Darmstadt 1994 V"," : ",spielfrei
"01 Dez 2019 09:00",Bezirksklasse,1,4,spielfrei," : ","Schachforum Darmstadt 1994 II"
"01 Dez 2019 09:00",Bezirksklasse,1,4,"SK Eberstadt 1924 I"," : ","Schachforum Darmstadt 1994 III"
"01 Dez 2019 09:00","Kreisklasse B",1,4,"Schachforum Darmstadt 1994 V"," : ","SC Springer Bad König II"
"26 Jan 2020 09:00",Bezirksklasse,1,5,"Schachforum Darmstadt 1994 III"," : ","SC Schachmatt Weiterstadt I"
"26 Jan 2020 09:00",Bezirksklasse,1,5,"Schachforum Darmstadt 1994 II"," : ","SK Langen III"
"26 Jan 2020 09:00","Kreisklasse B",1,5,"SK 1980 Gernsheim V"," : ","Schachforum Darmstadt 1994 V"
"16 Feb 2020 09:00",Bezirksklasse,1,6,"SG Wartturm Schaafheim I"," : ","Schachforum Darmstadt 1994 II"
"16 Feb 2020 09:00",Bezirksklasse,1,6,"SC FK Babenhausen 1994 II"," : ","Schachforum Darmstadt 1994 III"
"16 Feb 2020 09:00","Kreisklasse B",1,6,"Schachforum Darmstadt 1994 V"," : ","SC Reinheim - Groß-Bieberau II"
"08 Mär 2020 09:00",Bezirksklasse,1,7,"Schachforum Darmstadt 1994 III"," : ",spielfrei
"08 Mär 2020 09:00",Bezirksklasse,1,7,"Schachforum Darmstadt 1994 II"," : ","SK Eberstadt 1924 I"
"08 Mär 2020 09:00","Kreisklasse B",1,7,"SC Groß-Zimmern II"," : ","Schachforum Darmstadt 1994 V"
"17 Mai 2020 09:00",Bezirksklasse,1,8,"SC Schachmatt Weiterstadt I"," : ","Schachforum Darmstadt 1994 II"
"17 Mai 2020 09:00",Bezirksklasse,1,8,"Schachforum Darmstadt 1994 III"," : ","SC Ober-Ramstadt I"
"17 Mai 2020 09:00",Bezirksklasse,1,9,"SK 1980 Gernsheim IV"," : ","Schachforum Darmstadt 1994 III"
"17 Mai 2020 09:00",Bezirksklasse,1,9,"Schachforum Darmstadt 1994 II"," : ","SC FK Babenhausen 1994 II"
"17 Mai 2020 09:00","Kreisklasse B",1,8,"Schachforum Darmstadt 1994 V"," : ","SG Wartturm Schaafheim II"
"17 Mai 2020 09:00","Kreisklasse B",1,9,"SC Schachmatt Weiterstadt III"," : ","Schachforum Darmstadt 1994 V"
