Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"05 Dez 2021 09:00","Kreisklasse B",1,1,"SC Ladja Roﬂdorf 2"," : ","Schachforum Darmstadt 1994 5"
"09 Jan 2022 09:00","Kreisklasse B",1,2,"SC FK Babenhausen 1994 3"," : ","SC Ladja Roﬂdorf 2"
"23 Jan 2022 09:00","Kreisklasse B",1,3,"SC Ladja Roﬂdorf 2"," : ",spielfrei
"13 Feb 2022 09:00","Kreisklasse B",1,4,"SK 1980 Gernsheim 5"," : ","SC Ladja Roﬂdorf 2"
"27 Feb 2022 09:00","Kreisklasse B",1,5,"SC Ladja Roﬂdorf 2"," : ","SC Groﬂ-Umstadt 2"
"13 M‰r 2022 09:00","Kreisklasse B",1,6,"SC Ladja Roﬂdorf 2"," : ","SV Griesheim 1976 3"
"08 Mai 2022 09:00","Kreisklasse B",1,7,"SG Wartturm Schaafheim 2"," : ","SC Ladja Roﬂdorf 2"
