Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"12 Apr 2022 09:00","Kreisklasse B",1,4,"Schachforum Darmstadt 1994  04"," : ","SC Ladja Roﬂdorf  02"
"07 Jun 2022 09:00","Kreisklasse B",1,9,"SC Ladja Roﬂdorf  02"," : ","SC Springer Bad Kˆnig  02"
"26 Sep 2022 09:00","Kreisklasse B",1,1,"SK 1980 Gernsheim  05"," : ","SC Ladja Roﬂdorf  02"
"09 Okt 2022 09:00","Kreisklasse B",1,2,spielfrei," : ","SC Ladja Roﬂdorf  02"
"06 Nov 2022 09:00","Kreisklasse B",1,3,"SC Ladja Roﬂdorf  02"," : ","SV Griesheim 1976  02"
"15 Jan 2023 09:00","Kreisklasse B",1,5,"SC Ladja Roﬂdorf  02"," : ","SG Wartturm Schaafheim  02"
"29 Jan 2023 09:00","Kreisklasse B",1,6,"SC Groﬂ-Umstadt  02"," : ","SC Ladja Roﬂdorf  02"
"12 Feb 2023 09:00","Kreisklasse B",1,7,"SC Ladja Roﬂdorf  02"," : ","SC FK Babenhausen 1994  03"
"19 M‰r 2023 09:00","Kreisklasse B",1,8,"SC ""Turm"" Breuberg  03"," : ","SC Ladja Roﬂdorf  02"
