Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"22 Sep 2019 09:00",Bezirksklasse,1,1,"SC FK Babenhausen 1994 II"," : ","SK Langen III"
"27 Okt 2019 09:00",Bezirksklasse,1,2,"SG Wartturm Schaafheim I"," : ","SC FK Babenhausen 1994 II"
"10 Nov 2019 09:00",Bezirksklasse,1,3,"SC FK Babenhausen 1994 II"," : ","SK Eberstadt 1924 I"
"01 Dez 2019 09:00",Bezirksklasse,1,4,"SC Schachmatt Weiterstadt I"," : ","SC FK Babenhausen 1994 II"
"26 Jan 2020 09:00",Bezirksklasse,1,5,"SC FK Babenhausen 1994 II"," : ",spielfrei
"16 Feb 2020 09:00",Bezirksklasse,1,6,"SC FK Babenhausen 1994 II"," : ","Schachforum Darmstadt 1994 III"
"08 Mär 2020 09:00",Bezirksklasse,1,7,"SC Ober-Ramstadt I"," : ","SC FK Babenhausen 1994 II"
"17 Mai 2020 09:00",Bezirksklasse,1,8,"SC FK Babenhausen 1994 II"," : ","SK 1980 Gernsheim IV"
"17 Mai 2020 09:00",Bezirksklasse,1,9,"Schachforum Darmstadt 1994 II"," : ","SC FK Babenhausen 1994 II"
