Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"12 M‰r 2017 09:00","Kreisklasse A",1,4,"Schachforum Da 04"," : ","SC Groﬂ-Zimmern 02"
"17 Sep 2017 09:00","Kreisklasse A",1,1,"SC Groﬂ-Zimmern 02"," : ","SK 1924 Pfungstadt 01"
"05 Nov 2017 09:00","Kreisklasse A",1,2,"SC FK Babenhausen 02"," : ","SC Groﬂ-Zimmern 02"
"19 Nov 2017 09:00","Kreisklasse A",1,3,"SC Groﬂ-Zimmern 02"," : ","SG W Schaafheim 01"
"14 Jan 2018 09:00","Kreisklasse A",1,5,"SC Groﬂ-Zimmern 02"," : ","SAbt Tec Darmstadt 02"
"28 Jan 2018 09:00","Kreisklasse A",1,6,"SC Ladja Roﬂdorf 02"," : ","SC Groﬂ-Zimmern 02"
"18 Feb 2018 09:00","Kreisklasse A",1,7,"SC Groﬂ-Zimmern 02"," : ","SV Schachforum Da 05"
"11 M‰r 2018 09:00","Kreisklasse A",1,8,"SC Groﬂ-Zimmern 02"," : ","SC SM Weiterstadt 02"
"22 Apr 2018 09:00","Kreisklasse A",1,9,"SC Goddelau 01"," : ","SC Groﬂ-Zimmern 02"
