Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"05 Dez 2021 09:00",Bezirksklasse,1,1,"SC Springer Bad König 1"," : ","SAbt TEC Darmstadt 1"
"09 Jan 2022 09:00",Bezirksklasse,1,2,"SC Schachmatt Weiterstadt 1"," : ","SC Springer Bad König 1"
"23 Jan 2022 09:00",Bezirksklasse,1,3,"SC Springer Bad König 1"," : ","SC FK Babenhausen 1994 2"
"13 Feb 2022 09:00",Bezirksklasse,1,4,"SK Langen 2"," : ","SC Springer Bad König 1"
"27 Feb 2022 09:00",Bezirksklasse,1,5,"SC Springer Bad König 1"," : ","Schachforum Darmstadt 1994 3"
"13 Mär 2022 09:00",Bezirksklasse,1,6,"SSG Rödermark/Eppertshausen 2"," : ","SC Springer Bad König 1"
"08 Mai 2022 09:00",Bezirksklasse,1,7,"SC Springer Bad König 1"," : ",spielfrei
"22 Mai 2022 10:00",Bezirksklasse,1,8,"SC Springer Bad König 1"," : ","SG Wartturm Schaafheim 1"
"12 Jun 2022 09:00",Bezirksklasse,1,9,"SC Münster 1"," : ","SC Springer Bad König 1"
