Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"18 Sep 2016 09:00","Kreisklasse C",1,1,"SG W Schaafheim 02"," : ","Reinheim/Gr.-Bieberau 02"
"09 Okt 2016 09:00","Kreisklasse C",1,2,"SG W Schaafheim 02"," : ","SC SM Weiterstadt 02"
"19 Okt 2016 09:00","Kreisklasse A",1,2,"SG W Schaafheim 01"," : ","SC Ladja Roßdorf 02"
"06 Nov 2016 09:00","Kreisklasse A",1,3,"SC Münster 01"," : ","SG W Schaafheim 01"
"06 Nov 2016 09:00","Kreisklasse C",1,3,"SC Münster 02"," : ","SG W Schaafheim 02"
"18 Nov 2016 09:00","Kreisklasse A",1,1,"SG W Schaafheim 01"," : ","SC Goddelau 01"
"11 Dez 2016 09:00","Kreisklasse A",1,4,"SG W Schaafheim 01"," : ","SK 1927 Dieburg 01"
"11 Dez 2016 09:00","Kreisklasse C",1,4,"SG W Schaafheim 02"," : ","SC Groß-Umstadt 02"
"15 Jan 2017 09:00","Kreisklasse A",1,5,"SK 1924 Pfungstadt 01"," : ","SG W Schaafheim 01"
"15 Jan 2017 09:00","Kreisklasse C",1,5,"SC Schachforum Da 06"," : ","SG W Schaafheim 02"
"05 Feb 2017 09:00","Kreisklasse A",1,6,"SG W Schaafheim 01"," : ","SAbt TEC Darmstadt 02"
"05 Feb 2017 09:00","Kreisklasse C",1,6,"SG W Schaafheim 02"," : ","SC Turm Breuberg 04"
"05 Mär 2017 09:00","Kreisklasse A",1,7,"SC SM Weiterstadt 02"," : ","SG W Schaafheim 01"
"05 Mär 2017 09:00","Kreisklasse C",1,7,"SC Ober-Ramstadt 02"," : ","SG W Schaafheim 02"
"26 Mär 2017 09:00","Kreisklasse A",1,8,"SG W Schaafheim 01"," : ","SC FK Babenhausen 02"
"23 Apr 2017 09:00","Kreisklasse A",1,9,"SK 1980 Gernsheim 05"," : ","SG W Schaafheim 01"
