Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"27 Sep 2015 09:00","Kreisklasse A",1,1,"SC FK Babenhausen 02","2.5 : 5.5","SC Ladja Roﬂdorf 02"
"08 Nov 2015 09:00","Kreisklasse A",1,2,"SC Ladja Roﬂdorf 02","2.5 : 5.5","SG Wartturm Schaafheim 01"
"22 Nov 2015 09:00","Kreisklasse A",1,3,"SC Goddelau 01","4.5 : 3.5","SC Ladja Roﬂdorf 02"
"06 Dez 2015 09:00","Kreisklasse A",1,4,"SC Ladja Roﬂdorf 02","6.5 : 1.5","SC Springer Bad Kˆnig 02"
"17 Jan 2016 09:00","Kreisklasse A",1,5,"SK 1980 Gernsheim 05","4.0 : 4.0","SC Ladja Roﬂdorf 02"
"31 Jan 2016 09:00","Kreisklasse A",1,6,"SC Ladja Roﬂdorf 02","3.0 : 5.0","SK 1980 Gernsheim 04"
"14 Feb 2016 09:00","Kreisklasse A",1,7,"SC Groﬂ-Zimmern 02","3.0 : 5.0","SC Ladja Roﬂdorf 02"
"06 M‰r 2016 09:00","Kreisklasse A",1,8,"SC Ladja Roﬂdorf 02","3.0 : 5.0","SK 1927 Dieburg 01"
"17 Apr 2016 09:00","Kreisklasse A",1,9,"Schachforum Darmstadt 04","5.5 : 2.5","SC Ladja Roﬂdorf 02"
