Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"05 Dez 2021 09:00",Bezirksklasse,1,1,"Schachforum Darmstadt 1994 3"," : ","SC FK Babenhausen 1994 2"
"05 Dez 2021 09:00","Kreisklasse B",1,1,"SK 1980 Gernsheim 5"," : ","SC FK Babenhausen 1994 3"
"09 Jan 2022 09:00",Bezirksklasse,1,2,"SC FK Babenhausen 1994 2"," : ","SSG Rödermark/Eppertshausen 2"
"09 Jan 2022 09:00","Kreisklasse B",1,2,"SC FK Babenhausen 1994 3"," : ","SC Ladja Roßdorf 2"
"10 Jan 2022","4er Pokal",1,1,"SC Babenhausen 1"," : ","Gernsheim 3"
"23 Jan 2022 09:00",Bezirksklasse,1,3,"SC Springer Bad König 1"," : ","SC FK Babenhausen 1994 2"
"23 Jan 2022 09:00","Kreisklasse B",1,3,"SV Griesheim 1976 3"," : ","SC FK Babenhausen 1994 3"
"13 Feb 2022 09:00",Bezirksklasse,1,4,"SC FK Babenhausen 1994 2"," : ","SG Wartturm Schaafheim 1"
"13 Feb 2022 09:00","Kreisklasse B",1,4,"SC FK Babenhausen 1994 3"," : ","SG Wartturm Schaafheim 2"
"27 Feb 2022 09:00",Bezirksklasse,1,5,"SC Münster 1"," : ","SC FK Babenhausen 1994 2"
"27 Feb 2022 09:00","Kreisklasse B",1,5,"Schachforum Darmstadt 1994 5"," : ","SC FK Babenhausen 1994 3"
"13 Mär 2022 09:00",Bezirksklasse,1,6,"SC FK Babenhausen 1994 2"," : ","SAbt TEC Darmstadt 1"
"13 Mär 2022 09:00","Kreisklasse B",1,6,"SC Groß-Umstadt 2"," : ","SC FK Babenhausen 1994 3"
"08 Mai 2022 09:00",Bezirksklasse,1,7,"SC Schachmatt Weiterstadt 1"," : ","SC FK Babenhausen 1994 2"
"08 Mai 2022 09:00","Kreisklasse B",1,7,"SC FK Babenhausen 1994 3"," : ",spielfrei
"22 Mai 2022 10:00",Bezirksklasse,1,8,spielfrei," : ","SC FK Babenhausen 1994 2"
"12 Jun 2022 09:00",Bezirksklasse,1,9,"SC FK Babenhausen 1994 2"," : ","SK Langen 2"
