Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"22 Sep 2019 09:00","Kreisklasse B",1,1,"SC Springer Bad König II"," : ","SC Schachmatt Weiterstadt III"
"27 Okt 2019 09:00","Kreisklasse B",1,2,"SK Langen IV"," : ","SC Springer Bad König II"
"10 Nov 2019 09:00","Kreisklasse B",1,3,"SC Springer Bad König II"," : ","SC ""Turm"" Breuberg II"
"01 Dez 2019 09:00","Kreisklasse B",1,4,"Schachforum Darmstadt 1994 V"," : ","SC Springer Bad König II"
"26 Jan 2020 09:00","Kreisklasse B",1,5,"SC Springer Bad König II"," : ",spielfrei
"16 Feb 2020 09:00","Kreisklasse B",1,6,"SC Springer Bad König II"," : ","SK 1980 Gernsheim V"
"08 Mär 2020 09:00","Kreisklasse B",1,7,"SC Reinheim - Groß-Bieberau II"," : ","SC Springer Bad König II"
"17 Mai 2020 09:00","Kreisklasse B",1,8,"SC Springer Bad König II"," : ","SC Groß-Zimmern II"
"17 Mai 2020 09:00","Kreisklasse B",1,9,"SG Wartturm Schaafheim II"," : ","SC Springer Bad König II"
