Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"19 Okt 2016 09:00","Kreisklasse A",1,2,"SC Goddelau 01"," : ","SAbt TEC Darmstadt 02"
"06 Nov 2016 09:00","Kreisklasse A",1,3,"SC Ladja Roßdorf 02"," : ","SC Goddelau 01"
"18 Nov 2016 09:00","Kreisklasse A",1,1,"SG W Schaafheim 01"," : ","SC Goddelau 01"
"11 Dez 2016 09:00","Kreisklasse A",1,4,"SC Goddelau 01"," : ","SC SM Weiterstadt 02"
"15 Jan 2017 09:00","Kreisklasse A",1,5,"SC Münster 01"," : ","SC Goddelau 01"
"05 Feb 2017 09:00","Kreisklasse A",1,6,"SC Goddelau 01"," : ","SC FK Babenhausen 02"
"05 Mär 2017 09:00","Kreisklasse A",1,7,"SK 1927 Dieburg 01"," : ","SC Goddelau 01"
"26 Mär 2017 09:00","Kreisklasse A",1,8,"SC Goddelau 01"," : ","SK 1980 Gernsheim 05"
"23 Apr 2017 09:00","Kreisklasse A",1,9,"SK 1924 Pfungstadt 01"," : ","SC Goddelau 01"
