Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"23 Sep 2018 09:00","Kreisklasse A",1,1,"SC FK Babenhausen 1994 02"," : ","SG Wartturm Schaafheim 01"
"04 Nov 2018 09:00","Kreisklasse A",1,2,"SC Münster 01"," : ","SC FK Babenhausen 1994 02"
"09 Dez 2018 09:00","Kreisklasse A",1,3,"SC FK Babenhausen 1994 02"," : ","SC Ladja Roßdorf 02"
"03 Feb 2019 09:00","Kreisklasse A",1,4,"SAbt Tec Darmstadt 02"," : ","SC FK Babenhausen 1994 02"
"17 Feb 2019 09:00","Kreisklasse A",1,5,"SC FK Babenhausen 1994 02"," : ","SC Schachmatt Weiterstadt 02"
"10 Mär 2019 09:00","Kreisklasse A",1,6,"SC FK Babenhausen 1994 02"," : ","SC Groß-Zimmern 02"
"07 Apr 2019 09:00","Kreisklasse A",1,7,"Schachforum Darmstadt 1994 05"," : ","SC FK Babenhausen 1994 02"
