Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"12 Mär 2017 09:00","Kreisklasse A",1,4,"SG W Schaafheim 01"," : ","SC SM Weiterstadt 02"
"17 Sep 2017 09:00","Kreisklasse A",1,1,"SAbt Tec Darmstadt 02"," : ","SG W Schaafheim 01"
"17 Sep 2017 09:00","Kreisklasse B",1,1,"SK 1990 Gernsheim 05"," : ","SG W Schaafheim 02"
"05 Nov 2017 09:00","Kreisklasse A",1,2,"SG W Schaafheim 01"," : ","SC Ladja Roßdorf 02"
"05 Nov 2017 09:00","Kreisklasse B",1,2,"SG W Schaafheim 02"," : ","SC Turm Breuberg 03"
"19 Nov 2017 09:00","Kreisklasse A",1,3,"SC Groß-Zimmern 02"," : ","SG W Schaafheim 01"
"19 Nov 2017 09:00","Kreisklasse B",1,3,"Rödermark/Eppertshs 03"," : ","SG W Schaafheim 02"
"03 Dez 2017 09:00","Kreisklasse B",1,4,"SG W Schaafheim 02"," : ","SC Springer Bad König 02"
"14 Jan 2018 09:00","Kreisklasse A",1,5,"SC Goddelau 01"," : ","SG W Schaafheim 01"
"14 Jan 2018 09:00","Kreisklasse B",1,5,"SK Langen 04"," : ","SG W Schaafheim 02"
"28 Jan 2018 09:00","Kreisklasse A",1,6,"SG W Schaafheim 01"," : ","SK 1924 Pfungstadt 01"
"28 Jan 2018 09:00","Kreisklasse B",1,6,"SG W Schaafheim 02"," : ","SV Schachforum Da 06"
"18 Feb 2018 09:00","Kreisklasse A",1,7,"SC FK Babenhausen 02"," : ","SG W Schaafheim 01"
"18 Feb 2018 09:00","Kreisklasse B",1,7,"Reinheim/Gr.-Bieberau 02"," : ","SG W Schaafheim 02"
"11 Mär 2018 09:00","Kreisklasse A",1,8,"SV Schachforum Da 05"," : ","SG W Schaafheim 01"
"22 Apr 2018 09:00","Kreisklasse A",1,9,"SG W Schaafheim 01"," : ","Schachforum Da 04"
