Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"23 Sep 2018 09:00","Kreisklasse A",1,1,"SC FK Babenhausen 1994 02"," : ","SG Wartturm Schaafheim 01"
"23 Sep 2018 09:00","Kreisklasse B",1,1,"SSG Rödermark/Eppertshausen 03"," : ","SG Wartturm Schaafheim 02"
"04 Nov 2018 09:00","Kreisklasse A",1,2,"SG Wartturm Schaafheim 01"," : ","SC Groß-Zimmern 02"
"04 Nov 2018 09:00","Kreisklasse B",1,2,"SG Wartturm Schaafheim 02"," : ","SC Reinheim - Groß-Bieberau 02"
"09 Dez 2018 09:00","Kreisklasse A",1,3,"Schachforum Darmstadt 1994 05"," : ","SG Wartturm Schaafheim 01"
"09 Dez 2018 09:00","Kreisklasse B",1,3,"SC Groß-Umstadt 02"," : ","SG Wartturm Schaafheim 02"
"03 Feb 2019 09:00","Kreisklasse A",1,4,"SC Schachmatt Weiterstadt 02"," : ","SG Wartturm Schaafheim 01"
"03 Feb 2019 09:00","Kreisklasse B",1,4,"SC Turm Breuberg 03"," : ","SG Wartturm Schaafheim 02"
"17 Feb 2019 09:00","Kreisklasse A",1,5,"SG Wartturm Schaafheim 01"," : ","SC Münster 01"
"17 Feb 2019 09:00","Kreisklasse B",1,5,"SG Wartturm Schaafheim 02"," : ","SC Schachmatt Weiterstadt 03"
"10 Mär 2019 09:00","Kreisklasse A",1,6,"SC Ladja Roßdorf 02"," : ","SG Wartturm Schaafheim 01"
"10 Mär 2019 09:00","Kreisklasse B",1,6,"SK 1980 Gernsheim 05"," : ","SG Wartturm Schaafheim 02"
"07 Apr 2019 09:00","Kreisklasse A",1,7,"SG Wartturm Schaafheim 01"," : ","SAbt Tec Darmstadt 02"
"07 Apr 2019 09:00","Kreisklasse B",1,7,"SG Wartturm Schaafheim 02"," : ","SC Goddelau 01"
