Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"23 Sep 2018 09:00","Kreisklasse B",1,1,"SK 1980 Gernsheim 05"," : ","SC Turm Breuberg 03"
"04 Nov 2018 09:00","Kreisklasse B",1,2,"SK 1980 Gernsheim 05"," : ","SC Goddelau 01"
"09 Dez 2018 09:00","Kreisklasse B",1,3,"SSG Rödermark/Eppertshausen 03"," : ","SK 1980 Gernsheim 05"
"03 Feb 2019 09:00","Kreisklasse B",1,4,"SK 1980 Gernsheim 05"," : ","SC Reinheim - Groß-Bieberau 02"
"17 Feb 2019 09:00","Kreisklasse B",1,5,"SC Groß-Umstadt 02"," : ","SK 1980 Gernsheim 05"
"10 Mär 2019 09:00","Kreisklasse B",1,6,"SK 1980 Gernsheim 05"," : ","SG Wartturm Schaafheim 02"
"07 Apr 2019 09:00","Kreisklasse B",1,7,"SC Schachmatt Weiterstadt 03"," : ","SK 1980 Gernsheim 05"
