Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"17 Sep 2017 09:00","Kreisklasse B",1,1,"SK 1990 Gernsheim 05"," : ","SG W Schaafheim 02"
"05 Nov 2017 09:00","Kreisklasse B",1,2,"SK 1990 Gernsheim 05"," : ","Rödermark/Eppertshs 03"
"19 Nov 2017 09:00","Kreisklasse B",1,3,"SK Langen 04"," : ","SK 1990 Gernsheim 05"
"03 Dez 2017 09:00","Kreisklasse B",1,4,"SK 1990 Gernsheim 05"," : ","Reinheim/Gr.-Bieberau 02"
"14 Jan 2018 09:00","Kreisklasse B",1,5,"SC Turm Breuberg 03"," : ","SK 1990 Gernsheim 05"
"28 Jan 2018 09:00","Kreisklasse B",1,6,"SK 1990 Gernsheim 05"," : ","SC Springer Bad König 02"
"18 Feb 2018 09:00","Kreisklasse B",1,7,"SV Schachforum Da 06"," : ","SK 1990 Gernsheim 05"
