Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"19 Okt 2016 09:00","Kreisklasse A",1,2,"SG W Schaafheim 01"," : ","SC Ladja Roﬂdorf 02"
"06 Nov 2016 09:00","Kreisklasse A",1,3,"SC Ladja Roﬂdorf 02"," : ","SC Goddelau 01"
"18 Nov 2016 09:00","Kreisklasse A",1,1,"SC Ladja Roﬂdorf 02"," : ","SK 1980 Gernsheim 05"
"11 Dez 2016 09:00","Kreisklasse A",1,4,"SC Ladja Roﬂdorf 02"," : ","SC M¸nster 01"
"15 Jan 2017 09:00","Kreisklasse A",1,5,"SK 1927 Dieburg 01"," : ","SC Ladja Roﬂdorf 02"
"05 Feb 2017 09:00","Kreisklasse A",1,6,"SC Ladja Roﬂdorf 02"," : ","SK 1924 Pfungstadt 01"
"05 M‰r 2017 09:00","Kreisklasse A",1,7,"SAbt TEC Darmstadt 02"," : ","SC Ladja Roﬂdorf 02"
"26 M‰r 2017 09:00","Kreisklasse A",1,8,"SC Ladja Roﬂdorf 02"," : ","SC SM Weiterstadt 02"
"23 Apr 2017 09:00","Kreisklasse A",1,9,"SC FK Babenhausen 02"," : ","SC Ladja Roﬂdorf 02"
