Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"19 Okt 2016 09:00","Kreisklasse A",1,2,"SK 1980 Gernsheim 05"," : ","SC Münster 01"
"06 Nov 2016 09:00","Kreisklasse A",1,3,"SK 1927 Dieburg 01"," : ","SK 1980 Gernsheim 05"
"18 Nov 2016 09:00","Kreisklasse A",1,1,"SC Ladja Roßdorf 02"," : ","SK 1980 Gernsheim 05"
"11 Dez 2016 09:00","Kreisklasse A",1,4,"SK 1980 Gernsheim 05"," : ","SK 1924 Pfungstadt 01"
"15 Jan 2017 09:00","Kreisklasse A",1,5,"SAbt TEC Darmstadt 02"," : ","SK 1980 Gernsheim 05"
"05 Feb 2017 09:00","Kreisklasse A",1,6,"SK 1980 Gernsheim 05"," : ","SC SM Weiterstadt 02"
"05 Mär 2017 09:00","Kreisklasse A",1,7,"SC FK Babenhausen 02"," : ","SK 1980 Gernsheim 05"
"26 Mär 2017 09:00","Kreisklasse A",1,8,"SC Goddelau 01"," : ","SK 1980 Gernsheim 05"
"23 Apr 2017 09:00","Kreisklasse A",1,9,"SK 1980 Gernsheim 05"," : ","SG W Schaafheim 01"
