Datum,Liga,Dg,Rd,Heim,Ergebnis,Gast
"27 Sep 2015 09:00","Kreisklasse A",1,1,"SC Goddelau 01","3.5 : 4.5","SK 1927 Dieburg 01"
"08 Nov 2015 09:00","Kreisklasse A",1,2,"SC FK Babenhausen 02","5.0 : 3.0","SC Goddelau 01"
"22 Nov 2015 09:00","Kreisklasse A",1,3,"SC Goddelau 01","4.5 : 3.5","SC Ladja Roßdorf 02"
"06 Dez 2015 09:00","Kreisklasse A",1,4,"SC Goddelau 01","3.5 : 4.5","SK 1980 Gernsheim 05"
"17 Jan 2016 09:00","Kreisklasse A",1,5,"SC Groß-Zimmern 02","3.0 : 5.0","SC Goddelau 01"
"31 Jan 2016 09:00","Kreisklasse A",1,6,"SC Goddelau 01","4.0 : 4.0","Schachforum Darmstadt 04"
"14 Feb 2016 09:00","Kreisklasse A",1,7,"SG Wartturm Schaafheim 01","3.5 : 4.5","SC Goddelau 01"
"06 Mär 2016 09:00","Kreisklasse A",1,8,"SC Goddelau 01","7.0 : 1.0","SC Springer Bad König 02"
"17 Apr 2016 09:00","Kreisklasse A",1,9,"SK 1980 Gernsheim 04","5.5 : 2.5","SC Goddelau 01"
